Triads,TPMA,TPMB,TPMC
Mhu01Ag06420_Mhu01Bg05380_Mhu08Cg08480,2.63374,2.33333,2.7807
Mhu01Ag06470_Mhu01Bg05440_Mhu08Cg08470,3.67393,2.58876,2.33333
Mhu01Ag06550_Mhu01Bg05470_Mhu08Cg08430,7.78923,11.5197,10.14
Mhu01Ag06580_Mhu01Bg05570_Mhu08Cg08390,3.92468,3.19322,3.65104
Mhu01Ag06600_Mhu01Bg05600_Mhu08Cg08370,97.9907,3.01071,57.5679
Mhu01Ag06660_Mhu01Bg05680_Mhu08Cg08360,15.5204,8.601,12.6012
Mhu01Ag06680_Mhu01Bg05710_Mhu08Cg08330,5.26918,7.14325,8.94023
Mhu01Ag06830_Mhu01Bg05820_Mhu08Cg08230,19.5839,18.6953,21.4924
Mhu01Ag06900_Mhu01Bg05860_Mhu08Cg08190,2.33333,3.92047,14.0327
Mhu01Ag06920_Mhu01Bg05880_Mhu08Cg08180,5.41369,3.19061,6.50417
Mhu01Ag07030_Mhu01Bg05950_Mhu08Cg08100,2.52104,2.39887,2.33333
Mhu01Ag07050_Mhu01Bg05970_Mhu08Cg08080,8.37001,2.33333,14.5574
Mhu01Ag07240_Mhu01Bg06110_Mhu08Cg07940,6.87204,9.33818,18.9852
Mhu01Ag07270_Mhu01Bg06320_Mhu08Cg07830,4.68322,8.67794,8.06985
Mhu01Ag07320_Mhu01Bg06260_Mhu08Cg07880,2.33333,5.03428,5.37623
Mhu01Ag07340_Mhu01Bg06250_Mhu08Cg07900,14.3333,13.2142,20.2918
Mhu01Ag07420_Mhu01Bg06400_Mhu08Cg07780,43.0738,2.33333,39.2202
Mhu01Ag07450_Mhu01Bg06450_Mhu08Cg07750,3.00389,3.6293,26.7583
Mhu01Ag07540_Mhu01Bg06490_Mhu08Cg07710,2.33333,2.33333,2.33333
Mhu01Ag07580_Mhu01Bg06570_Mhu08Cg07690,7.34192,10.6224,3.57726
Mhu01Ag07590_Mhu01Bg06630_Mhu08Cg07650,3.37416,6.82817,2.4643
Mhu01Ag07720_Mhu01Bg06770_Mhu08Cg07560,2.33333,2.33333,2.33333
Mhu01Ag07740_Mhu01Bg06780_Mhu08Cg07550,117.714,6.38871,27.4422
Mhu01Ag07820_Mhu01Bg06950_Mhu08Cg07450,2.33333,2.43828,2.54363
Mhu01Ag07980_Mhu01Bg07010_Mhu08Cg07290,5.39244,16.5135,2.74035
Mhu01Ag08010_Mhu01Bg07300_Mhu08Cg06960,3.37198,5.7601,4.2195
Mhu01Ag08040_Mhu01Bg07270_Mhu08Cg06970,11.061,7.91171,11.3644
Mhu01Ag08050_Mhu01Bg07260_Mhu08Cg06980,25.3293,19.4667,2.33333
Mhu01Ag08060_Mhu01Bg07250_Mhu08Cg06990,18.0133,9.11922,6.69091
Mhu01Ag08140_Mhu01Bg07210_Mhu08Cg07050,125.175,15.845,241.817
Mhu01Ag08210_Mhu01Bg07160_Mhu08Cg07120,2.42747,2.33333,2.55876
Mhu01Ag08240_Mhu01Bg07150_Mhu08Cg07140,9.44168,14.5723,18.513
Mhu01Ag08540_Mhu01Bg07050_Mhu08Cg07250,2.80758,4.34236,3.69935
Mhu01Ag08640_Mhu01Bg07370_Mhu08Cg06920,49.0596,3.198,2.33333
Mhu01Ag08740_Mhu01Bg07410_Mhu08Cg06890,13.6292,11.6278,12.0405
Mhu01Ag08770_Mhu01Bg07420_Mhu08Cg06870,22.022,29.6666,13.8677
Mhu01Ag08830_Mhu01Bg07520_Mhu08Cg06800,22.6624,4.75253,7.25054
Mhu01Ag09250_Mhu01Bg07740_Mhu01Cg21510,2.58593,11.1135,14.454
Mhu01Ag09340_Mhu01Bg07770_Mhu01Cg21470,15.5815,6.54953,6.86259
Mhu01Ag09820_Mhu01Bg08180_Mhu01Cg21130,3.49581,2.69068,5.4465
Mhu01Ag09950_Mhu01Bg08320_Mhu01Cg20890,8.87447,8.88078,10.9594
Mhu01Ag09970_Mhu01Bg08330_Mhu01Cg20870,2.33333,2.33333,2.33333
Mhu01Ag10340_Mhu01Bg09110_Mhu01Cg20300,6.40253,4.4573,7.39777
Mhu01Ag10350_Mhu01Bg09150_Mhu01Cg20270,3.13444,2.36312,2.71916
Mhu01Ag10360_Mhu01Bg09160_Mhu01Cg20260,2.81378,2.33333,2.43302
Mhu01Ag10370_Mhu01Bg09180_Mhu01Cg20250,2.33333,3.2259,2.65923
Mhu01Ag10400_Mhu01Bg09230_Mhu01Cg20200,2.39334,2.33333,3.02388
Mhu01Ag10480_Mhu01Bg09330_Mhu01Cg20100,177.256,148.043,410.635
Mhu01Ag10500_Mhu01Bg09350_Mhu01Cg20090,64.4503,19.8562,6.70408
Mhu01Ag10620_Mhu01Bg09540_Mhu01Cg19940,2.70169,3.35915,7.13423
Mhu01Ag10630_Mhu01Bg09550_Mhu01Cg19930,76.1089,11.7822,95.6903
Mhu01Ag10700_Mhu01Bg09610_Mhu01Cg19900,28.6023,5.29398,122.795
Mhu01Ag10760_Mhu01Bg09680_Mhu01Cg19820,3.16453,2.5356,2.33333
Mhu01Ag10780_Mhu01Bg09700_Mhu01Cg19810,8.15659,23.191,9.54707
Mhu01Ag10800_Mhu01Bg09720_Mhu01Cg19800,47.5924,15.5648,17.5131
Mhu01Ag10810_Mhu01Bg09740_Mhu01Cg19780,2.33333,6.91757,6.2235
Mhu01Ag10870_Mhu01Bg09780_Mhu01Cg19730,3.44469,2.66964,2.33333
Mhu01Ag10930_Mhu01Bg09830_Mhu01Cg19670,42.2947,2.38577,14.9835
Mhu01Ag10950_Mhu01Bg09850_Mhu01Cg19660,18.0644,28.3585,21.3603
Mhu01Ag10970_Mhu01Bg09880_Mhu01Cg19650,2.34656,2.75579,2.53958
Mhu01Ag10990_Mhu01Bg09890_Mhu01Cg19630,5.788,7.09731,6.19595
Mhu01Ag11060_Mhu01Bg09900_Mhu01Cg19580,2.33333,2.33333,2.33333
Mhu01Ag11080_Mhu01Bg09920_Mhu01Cg19560,12.3635,19.6764,2.33333
Mhu01Ag11090_Mhu01Bg09930_Mhu01Cg19550,2.58764,2.33333,2.33333
Mhu01Ag11110_Mhu01Bg09940_Mhu01Cg19500,15.8517,24.4327,136.229
Mhu01Ag11140_Mhu01Bg09990_Mhu01Cg19470,2.33333,2.56027,2.60172
Mhu01Ag11160_Mhu01Bg10140_Mhu01Cg19310,14.7295,45.3455,30.1354
Mhu01Ag11190_Mhu01Bg10190_Mhu01Cg19300,2.41839,2.33333,2.33333
Mhu01Ag11200_Mhu01Bg10240_Mhu01Cg19260,2.80094,6.41844,3.85163
Mhu01Ag11220_Mhu01Bg10260_Mhu01Cg19230,7.48243,9.34609,3.1313
Mhu01Ag11230_Mhu01Bg10270_Mhu01Cg19210,2.86702,3.38237,3.50232
Mhu01Ag11250_Mhu01Bg10290_Mhu01Cg19190,21.3427,17.3864,14.0882
Mhu01Ag11260_Mhu01Bg10340_Mhu01Cg19170,15.8528,9.75382,3.7304
Mhu01Ag11270_Mhu01Bg10350_Mhu01Cg19160,58.7126,18.4244,28.3383
Mhu01Ag11310_Mhu01Bg10370_Mhu01Cg19120,67.2827,2.33333,20.6126
Mhu01Ag11370_Mhu01Bg10440_Mhu01Cg19070,13.0344,10.9993,4.85224
Mhu01Ag11380_Mhu01Bg10450_Mhu01Cg19050,10.9794,4.55054,7.28623
Mhu01Ag11570_Mhu01Bg10790_Mhu01Cg18940,966.51,1107.78,6756.99
Mhu01Ag11710_Mhu01Bg10980_Mhu01Cg18850,2.45572,2.41344,2.33333
Mhu01Ag11740_Mhu01Bg11020_Mhu01Cg18830,5.1424,2.33333,8.53381
Mhu01Ag11760_Mhu01Bg11130_Mhu01Cg18790,18.3795,3.38565,9.06503
Mhu01Ag11790_Mhu01Bg11170_Mhu01Cg18750,2.33333,2.33333,2.33333
Mhu01Ag11800_Mhu01Bg11190_Mhu01Cg18730,3.15771,8.19137,4.23471
Mhu01Ag11900_Mhu01Bg11240_Mhu01Cg18680,4.47535,5.69142,6.6185
Mhu01Ag11910_Mhu01Bg11250_Mhu01Cg18670,14.2552,3.82253,7.53415
Mhu01Ag11920_Mhu01Bg11260_Mhu01Cg18660,6.57018,6.54821,8.10278
Mhu01Ag12000_Mhu01Bg11370_Mhu01Cg18620,17.4389,17.8876,10.1766
Mhu01Ag12010_Mhu01Bg11380_Mhu01Cg18610,2.33333,2.33333,3.05933
Mhu01Ag12110_Mhu01Bg11460_Mhu01Cg18560,5.77544,3.35033,8.02666
Mhu01Ag12150_Mhu01Bg11510_Mhu01Cg18530,7.511,8.70052,2.4027
Mhu01Ag12170_Mhu01Bg11520_Mhu01Cg18520,3.88664,4.74399,5.73778
Mhu01Ag12240_Mhu01Bg11650_Mhu01Cg18460,13.5377,11.8142,15.061
Mhu01Ag12270_Mhu01Bg11720_Mhu01Cg18360,3.65771,3.55667,4.14864
Mhu01Ag12290_Mhu01Bg11740_Mhu01Cg18330,4.80319,4.6184,13.3114
Mhu01Ag12330_Mhu01Bg11760_Mhu01Cg18310,3.29614,5.66977,2.74195
Mhu01Ag12350_Mhu01Bg11840_Mhu01Cg18250,2.59836,3.44496,3.81849
Mhu01Ag12380_Mhu01Bg11860_Mhu01Cg18210,4.32401,2.39959,12.2875
Mhu01Ag12390_Mhu01Bg11880_Mhu01Cg18190,2.33333,3.91416,3.14112
Mhu01Ag12420_Mhu01Bg11900_Mhu01Cg18170,6.76524,8.53393,10.9039
Mhu01Ag12430_Mhu01Bg11910_Mhu01Cg18160,15.832,27.0772,26.5288
Mhu01Ag12440_Mhu01Bg11920_Mhu01Cg18150,3.43285,2.65723,2.42759
Mhu01Ag12630_Mhu01Bg12250_Mhu01Cg18070,2.33333,2.33333,2.65693
Mhu01Ag12750_Mhu01Bg12320_Mhu01Cg17990,5.14074,2.33333,4.12454
Mhu01Ag12840_Mhu01Bg12440_Mhu01Cg17880,13.2253,2.80303,14.363
Mhu01Ag12850_Mhu01Bg12450_Mhu01Cg17860,1034.85,7.36015,645.535
Mhu01Ag12860_Mhu01Bg12480_Mhu01Cg17840,26.0261,2.33333,6.56214
Mhu01Ag12890_Mhu01Bg12530_Mhu01Cg17790,5.21765,421.199,762.681
Mhu01Ag12920_Mhu01Bg12550_Mhu01Cg17710,3.03625,2.71899,2.33333
Mhu01Ag12960_Mhu01Bg12600_Mhu01Cg17660,14.3293,13.6807,16.8021
Mhu01Ag12990_Mhu01Bg12620_Mhu01Cg17640,2.33333,2.33333,2.56342
Mhu01Ag13030_Mhu01Bg12690_Mhu01Cg17630,2.33333,2.45992,2.51219
Mhu01Ag13070_Mhu01Bg12770_Mhu01Cg17610,18.9152,2.33333,18.4383
Mhu01Ag13170_Mhu01Bg12840_Mhu01Cg17530,2.33333,12.4974,13.2429
Mhu01Ag13200_Mhu01Bg12860_Mhu01Cg17520,2.79366,2.33333,3.46491
Mhu01Ag13210_Mhu01Bg12870_Mhu01Cg17510,9.71489,5.124,7.06714
Mhu01Ag13330_Mhu01Bg12920_Mhu01Cg17360,5.78965,7.02469,8.54386
Mhu01Ag13360_Mhu01Bg12960_Mhu01Cg17340,3.33482,23.7947,49.3736
Mhu01Ag13390_Mhu01Bg13010_Mhu01Cg17330,4.05979,3.09207,2.33333
Mhu01Ag13460_Mhu01Bg13060_Mhu01Cg17250,6.65868,2.33333,3.50435
Mhu01Ag13560_Mhu01Bg13100_Mhu01Cg17190,27.2394,3.23609,16.8198
Mhu01Ag13570_Mhu01Bg13110_Mhu01Cg17180,3.14547,18.9182,2.56493
Mhu01Ag13610_Mhu01Bg13130_Mhu01Cg17120,2.33333,2.33333,2.909
Mhu01Ag13650_Mhu01Bg13190_Mhu01Cg17060,4.16154,4.54846,2.8221
Mhu01Ag13670_Mhu01Bg13200_Mhu01Cg17050,17.5524,16.4096,18.2491
Mhu01Ag13700_Mhu01Bg13240_Mhu01Cg17030,7.24678,18.0829,21.7915
Mhu01Ag13720_Mhu01Bg13260_Mhu01Cg17010,5.02245,3.41851,4.88709
Mhu01Ag13730_Mhu01Bg13270_Mhu01Cg16990,11.1375,4.79888,2.33333
Mhu01Ag13790_Mhu01Bg13310_Mhu01Cg16970,2.33333,2.33333,2.33333
Mhu01Ag13830_Mhu01Bg13410_Mhu01Cg16860,6.44533,100.099,19.5406
Mhu01Ag13840_Mhu01Bg13420_Mhu01Cg16850,2.33333,2.33333,2.57751
Mhu01Ag13860_Mhu01Bg13480_Mhu01Cg16810,8.35675,5.63755,7.06352
Mhu01Ag13870_Mhu01Bg13490_Mhu01Cg16800,3.33027,2.33333,2.33333
Mhu01Ag13880_Mhu01Bg13550_Mhu01Cg16740,10.4985,19.9612,2.33333
Mhu01Ag13890_Mhu01Bg13560_Mhu01Cg16730,6.23226,13.0887,3.89374
Mhu01Ag13930_Mhu01Bg13630_Mhu01Cg16700,52.5298,25.334,25.4671
Mhu01Ag13960_Mhu01Bg13720_Mhu01Cg16630,5.95769,2.731,8.00838
Mhu01Ag13970_Mhu01Bg13730_Mhu01Cg16620,5.18381,8.45549,3.22661
Mhu01Ag14000_Mhu01Bg13750_Mhu01Cg16590,2.33333,2.33333,2.33333
Mhu01Ag14030_Mhu01Bg13830_Mhu01Cg16570,2.70755,2.33333,2.33333
Mhu01Ag14060_Mhu01Bg13870_Mhu01Cg16530,2.33333,2.33333,2.33333
